Gmt time,Open,High,Low,Close,Volume
14.11.2018 22:00:00.000,1.13069,1.13622,1.12705,1.13249,291863.4517
15.11.2018 22:00:00.000,1.13249,1.14202,1.13215,1.14185,253907.8318
16.11.2018 22:00:00.000,1.14185,1.14185,1.14185,1.14185,0
17.11.2018 22:00:00.000,1.14185,1.14185,1.14185,1.14185,0
18.11.2018 22:00:00.000,1.14133,1.14644,1.13938,1.14526,207259.67069999996
19.11.2018 22:00:00.000,1.14517,1.14723,1.13587,1.13696,239938.93639999998
20.11.2018 22:00:00.000,1.13696,1.14245,1.13634,1.13838,228952.5193
21.11.2018 22:00:00.000,1.13837,1.14340,1.13794,1.14002,176157.79150000002
22.11.2018 22:00:00.000,1.14008,1.14209,1.13275,1.13355,343454.5683
23.11.2018 22:00:00.000,1.13355,1.13355,1.13355,1.13355,0
24.11.2018 22:00:00.000,1.13355,1.13355,1.13355,1.13355,0
25.11.2018 22:00:00.000,1.13401,1.13837,1.13250,1.13275,229845.04030000002
26.11.2018 22:00:00.000,1.13273,1.13436,1.12775,1.12867,247102.25100000002
27.11.2018 22:00:00.000,1.12865,1.13875,1.12671,1.13660,265306.9801
28.11.2018 22:00:00.000,1.13659,1.14016,1.13486,1.13924,264011.27999999997
29.11.2018 22:00:00.000,1.13918,1.14003,1.13054,1.13164,260597.36009999996
30.11.2018 22:00:00.000,1.13164,1.13164,1.13164,1.13164,0
01.12.2018 22:00:00.000,1.13164,1.13164,1.13164,1.13164,0
02.12.2018 22:00:00.000,1.13499,1.13796,1.13192,1.13528,246981.1976
03.12.2018 22:00:00.000,1.13528,1.14187,1.13185,1.13415,284701.9903
04.12.2018 22:00:00.000,1.13415,1.13612,1.13107,1.13443,194512.64090000003
05.12.2018 22:00:00.000,1.13441,1.14123,1.13209,1.13720,280279.7696
06.12.2018 22:00:00.000,1.13720,1.14235,1.13603,1.13758,252844.9979
07.12.2018 22:00:00.000,1.13758,1.13758,1.13758,1.13758,0
08.12.2018 22:00:00.000,1.13758,1.13758,1.13758,1.13758,0
09.12.2018 22:00:00.000,1.13909,1.14426,1.13504,1.13552,259932.03170000002
10.12.2018 22:00:00.000,1.13548,1.14002,1.13062,1.13154,260289.78999999998
11.12.2018 22:00:00.000,1.13154,1.13872,1.13148,1.13681,264838.6409
12.12.2018 22:00:00.000,1.13681,1.13932,1.13310,1.13560,250498.67710000003
13.12.2018 22:00:00.000,1.13592,1.13649,1.12699,1.13045,264403.1212
14.12.2018 22:00:00.000,1.13045,1.13045,1.13045,1.13045,0
15.12.2018 22:00:00.000,1.13045,1.13045,1.13045,1.13045,0
16.12.2018 22:00:00.000,1.13008,1.13577,1.12967,1.13472,220321.82899999997
17.12.2018 22:00:00.000,1.13474,1.14022,1.13366,1.13595,248084.48960000006
18.12.2018 22:00:00.000,1.13594,1.14392,1.13591,1.13752,392303.2394
19.12.2018 22:00:00.000,1.13748,1.14859,1.13704,1.14451,519885.1379
20.12.2018 22:00:00.000,1.14454,1.14739,1.13559,1.13684,470650.75889999996
21.12.2018 22:00:00.000,1.13684,1.13684,1.13684,1.13684,0
22.12.2018 22:00:00.000,1.13684,1.13684,1.13684,1.13684,0
23.12.2018 22:00:00.000,1.13692,1.14384,1.13604,1.13988,373047.2295
24.12.2018 22:00:00.000,1.13976,1.14170,1.13894,1.13988,8155.2801
25.12.2018 22:00:00.000,1.13901,1.14198,1.13428,1.13507,257461.1485
26.12.2018 22:00:00.000,1.13507,1.14540,1.13504,1.14285,563907.8267
27.12.2018 22:00:00.000,1.14285,1.14727,1.14247,1.14414,453409.89060000004
28.12.2018 22:00:00.000,1.14414,1.14414,1.14414,1.14414,0
29.12.2018 22:00:00.000,1.14414,1.14414,1.14414,1.14414,0
30.12.2018 22:00:00.000,1.14331,1.14674,1.14213,1.14644,316061.53909999994
31.12.2018 22:00:00.000,1.14644,1.14644,1.14627,1.14627,5.25
01.01.2019 22:00:00.000,1.14598,1.14967,1.13250,1.13432,444066.54649999994
02.01.2019 22:00:00.000,1.13423,1.14110,1.13092,1.13924,503259.73329999996
03.01.2019 22:00:00.000,1.13924,1.14189,1.13456,1.13943,418205.8579
04.01.2019 22:00:00.000,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 22:00:00.000,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 22:00:00.000,1.13955,1.14826,1.13954,1.14740,365290.16069999995
07.01.2019 22:00:00.000,1.14740,1.14844,1.14222,1.14406,374697.228
08.01.2019 22:00:00.000,1.14406,1.15578,1.14370,1.15417,461404.6893999999
09.01.2019 22:00:00.000,1.15419,1.15697,1.14844,1.14994,503283.2468
10.01.2019 22:00:00.000,1.14994,1.15403,1.14580,1.14656,378819.8979000001
11.01.2019 22:00:00.000,1.14656,1.14656,1.14656,1.14656,0
12.01.2019 22:00:00.000,1.14656,1.14656,1.14656,1.14656,0
13.01.2019 22:00:00.000,1.14589,1.14820,1.14506,1.14679,346170.5487
14.01.2019 22:00:00.000,1.14679,1.14896,1.13819,1.14121,428238.4394
15.01.2019 22:00:00.000,1.14119,1.14248,1.13777,1.13911,373010.33019999997
16.01.2019 22:00:00.000,1.13911,1.14059,1.13700,1.13880,381653.9362
17.01.2019 22:00:00.000,1.13880,1.14103,1.13532,1.13614,391856.67270000005
18.01.2019 22:00:00.000,1.13614,1.13614,1.13614,1.13614,0
19.01.2019 22:00:00.000,1.13614,1.13614,1.13614,1.13614,0
20.01.2019 22:00:00.000,1.13603,1.13910,1.13567,1.13658,233318.68829999998
21.01.2019 22:00:00.000,1.13658,1.13739,1.13361,1.13595,367311.2478
22.01.2019 22:00:00.000,1.13594,1.13942,1.13505,1.13808,378369.69320000004
23.01.2019 22:00:00.000,1.13804,1.13913,1.12892,1.13020,430484.31729999994
24.01.2019 22:00:00.000,1.13011,1.14176,1.13004,1.14032,437970.6597999999
25.01.2019 22:00:00.000,1.14032,1.14032,1.14032,1.14032,0
26.01.2019 22:00:00.000,1.14032,1.14032,1.14032,1.14032,0
27.01.2019 22:00:00.000,1.14005,1.14436,1.13900,1.14271,355353.5988
28.01.2019 22:00:00.000,1.14257,1.14501,1.14111,1.14307,422806.6175
29.01.2019 22:00:00.000,1.14308,1.15016,1.14062,1.14786,430060.0301999999
30.01.2019 22:00:00.000,1.14786,1.15141,1.14356,1.14467,479601.8068
31.01.2019 22:00:00.000,1.14468,1.14884,1.14343,1.14547,406760.0677
01.02.2019 22:00:00.000,1.14547,1.14547,1.14547,1.14547,0
02.02.2019 22:00:00.000,1.14547,1.14547,1.14547,1.14547,0
03.02.2019 22:00:00.000,1.14503,1.14603,1.14244,1.14353,364641.27459999995
04.02.2019 22:00:00.000,1.14353,1.14404,1.14011,1.14054,333750.1993999999
05.02.2019 22:00:00.000,1.14054,1.14094,1.13608,1.13618,348621.8400999999
06.02.2019 22:00:00.000,1.13615,1.13683,1.13244,1.13390,377168.2571
07.02.2019 22:00:00.000,1.13383,1.13508,1.13207,1.13207,337884.74919999996
08.02.2019 22:00:00.000,1.13207,1.13207,1.13207,1.13207,0
09.02.2019 22:00:00.000,1.13207,1.13207,1.13207,1.13207,0
10.02.2019 22:00:00.000,1.13186,1.13298,1.12672,1.12754,381292.5479
11.02.2019 22:00:00.000,1.12752,1.13396,1.12577,1.13251,397043.4979
12.02.2019 22:00:00.000,1.13251,1.13414,1.12601,1.12602,381009.89109999995
13.02.2019 22:00:00.000,1.12601,1.13098,1.12490,1.12947,420237.8624
14.02.2019 22:00:00.000,1.12949,1.13061,1.12340,1.12925,437592.53010000003
15.02.2019 22:00:00.000,1.12925,1.12925,1.12925,1.12925,0
16.02.2019 22:00:00.000,1.12925,1.12925,1.12925,1.12925,0
17.02.2019 22:00:00.000,1.12906,1.13338,1.12889,1.13081,268325.4813
18.02.2019 22:00:00.000,1.13079,1.13574,1.12755,1.13400,403980.9442000001
19.02.2019 22:00:00.000,1.13400,1.13711,1.13249,1.13359,395136.9310999999
